                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.4164,                 3.4347,                  1.785,                0.23484,                0.15946,                0.15061,                0.06692,                  2.152,                  3.351,                 1.7169,              8.574e-05,              8.574e-05,              8.574e-05
                      2,                 2.2859,                 2.5233,                 1.7323,                0.35464,                0.57936,                0.41454,                0.17268,                 2.1477,                 2.1936,                 1.7213,             0.00018393,             0.00018393,             0.00018393
                      3,                 2.2206,                 2.0335,                 1.4682,                0.32636,                0.62301,                0.37598,                0.14752,                 2.1254,                 2.3293,                 1.6781,             0.00028014,             0.00028014,             0.00028014
                      4,                 2.1021,                 1.9174,                  1.509,                0.33892,                0.60327,                0.36778,                0.15021,                  2.017,                 3.6426,                 1.5571,             0.00037437,             0.00037437,             0.00037437
                      5,                 2.0999,                 1.8002,                  1.487,                0.33892,                0.60327,                0.36778,                0.15021,                  2.017,                 3.6426,                 1.5571,             0.00046662,             0.00046662,             0.00046662
                      6,                 2.0746,                 1.8122,                 1.5014,                0.37727,                0.70526,                0.44776,                0.20475,                 1.9758,                 2.8191,                 1.5017,             0.00055689,             0.00055689,             0.00055689
                      7,                 2.0551,                 1.7925,                 1.4659,                 0.4342,                0.72465,                0.44852,                0.20452,                 1.9806,                 2.6928,                 1.5668,             0.00064518,             0.00064518,             0.00064518
                      8,                 2.2048,                 1.7639,                 1.4327,                 0.4342,                0.72465,                0.44852,                0.20452,                 1.9806,                 2.6928,                 1.5668,             0.00073148,             0.00073148,             0.00073148
                      9,                 2.1405,                 1.7464,                 1.5471,                0.53196,                0.74273,                0.58042,                0.25141,                 2.0191,                  2.122,                 1.6237,             0.00081581,             0.00081581,             0.00081581
                     10,                  2.044,                 1.6186,                 1.5726,                0.53196,                0.74273,                0.58042,                0.25141,                 2.0191,                  2.122,                 1.6237,             0.00089816,             0.00089816,             0.00089816
                     11,                 2.0444,                 1.6949,                 1.4355,                0.30723,                0.71775,                0.52743,                0.21627,                 2.0299,                 3.9505,                 1.6751,             0.00097852,             0.00097852,             0.00097852
                     12,                  2.046,                 3.0206,                 1.7158,                0.30723,                0.71775,                0.52743,                0.21627,                 2.0299,                 3.9505,                 1.6751,              0.0010569,              0.0010569,              0.0010569
                     13,                 2.0042,                 2.2606,                  1.499,                0.30723,                0.71775,                0.52743,                0.21627,                 2.0299,                 3.9505,                 1.6751,              0.0011333,              0.0011333,              0.0011333
                     14,                 2.0578,                 2.1645,                 1.4946,                0.32952,                0.71023,                0.55787,                0.22417,                 2.0276,                 2.8199,                 1.6727,              0.0012077,              0.0012077,              0.0012077
                     15,                 2.0203,                  2.313,                 1.5374,                0.32952,                0.71023,                0.55787,                0.22417,                 2.0276,                 2.8199,                 1.6727,              0.0012309,              0.0012309,              0.0012309
                     16,                 2.0572,                 2.4154,                 1.5189,                0.32952,                0.71023,                0.55787,                0.22417,                 2.0276,                 2.8199,                 1.6727,              0.0012309,              0.0012309,              0.0012309
                     17,                 2.0444,                 1.9404,                 1.4626,                0.68969,                0.43833,                0.47205,                0.19524,                 2.0337,                 2.3063,                 1.6711,              0.0012168,              0.0012168,              0.0012168
                     18,                 2.0258,                 1.7877,                 1.4802,                0.68969,                0.43833,                0.47205,                0.19524,                 2.0337,                 2.3063,                 1.6711,              0.0012026,              0.0012026,              0.0012026
                     19,                 2.0562,                 1.9985,                 1.5477,                0.68969,                0.43833,                0.47205,                0.19524,                 2.0337,                 2.3063,                 1.6711,              0.0011885,              0.0011885,              0.0011885
                     20,                 2.0081,                 1.9801,                 1.5118,                0.36458,                0.50556,                0.40093,                0.17088,                 1.9622,                 1.7012,                 1.6087,              0.0011744,              0.0011744,              0.0011744
                     21,                 1.9749,                 2.0424,                 1.4135,                0.36458,                0.50556,                0.40093,                0.17088,                 1.9622,                 1.7012,                 1.6087,              0.0011602,              0.0011602,              0.0011602
                     22,                 1.9754,                 2.0636,                 1.4273,                0.36458,                0.50556,                0.40093,                0.17088,                 1.9622,                 1.7012,                 1.6087,              0.0011461,              0.0011461,              0.0011461
                     23,                 1.9941,                 1.9149,                 1.3892,                0.39288,                0.65099,                0.50562,                0.21399,                 1.9621,                 1.6149,                 1.5905,              0.0011319,              0.0011319,              0.0011319
                     24,                 2.0496,                 1.8061,                 1.5117,                0.39288,                0.65099,                0.50562,                0.21399,                 1.9621,                 1.6149,                 1.5905,              0.0011178,              0.0011178,              0.0011178
                     25,                 2.0407,                 1.7619,                 1.4936,                0.39288,                0.65099,                0.50562,                0.21399,                 1.9621,                 1.6149,                 1.5905,              0.0011036,              0.0011036,              0.0011036
                     26,                 2.0099,                 1.7334,                 1.4584,                0.56479,                0.63304,                0.63491,                0.28554,                 1.8992,                 1.7389,                 1.5501,              0.0010895,              0.0010895,              0.0010895
                     27,                 2.0165,                 1.7737,                 1.4013,                0.56479,                0.63304,                0.63491,                0.28554,                 1.8992,                 1.7389,                 1.5501,              0.0010753,              0.0010753,              0.0010753
                     28,                 1.9617,                 1.7214,                 1.4329,                0.56479,                0.63304,                0.63491,                0.28554,                 1.8992,                 1.7389,                 1.5501,              0.0010612,              0.0010612,              0.0010612
                     29,                 1.9525,                 1.6987,                 1.4859,                0.46018,                0.69038,                0.60209,                0.25012,                 1.9499,                 1.7255,                 1.6113,               0.001047,               0.001047,               0.001047
                     30,                 2.0415,                 1.6633,                 1.5291,                0.46018,                0.69038,                0.60209,                0.25012,                 1.9499,                 1.7255,                 1.6113,              0.0010329,              0.0010329,              0.0010329
                     31,                 2.0636,                 1.6757,                 1.4965,                0.46018,                0.69038,                0.60209,                0.25012,                 1.9499,                 1.7255,                 1.6113,              0.0010187,              0.0010187,              0.0010187
                     32,                 1.9848,                 1.5812,                 1.4712,                0.37179,                0.82142,                0.55616,                0.21873,                 1.9865,                 1.6593,                 1.6332,              0.0010046,              0.0010046,              0.0010046
                     33,                 1.9683,                 1.6288,                 1.4291,                0.37179,                0.82142,                0.55616,                0.21873,                 1.9865,                 1.6593,                 1.6332,             0.00099044,             0.00099044,             0.00099044
                     34,                 2.0144,                 1.6066,                 1.4135,                0.37179,                0.82142,                0.55616,                0.21873,                 1.9865,                 1.6593,                 1.6332,             0.00097629,             0.00097629,             0.00097629
                     35,                 1.9854,                 1.6834,                 1.4971,                0.35131,                0.73126,                0.50165,                 0.2101,                 1.9176,                 1.9149,                 1.5881,             0.00096215,             0.00096215,             0.00096215
                     36,                 1.9496,                 1.6592,                  1.478,                0.35131,                0.73126,                0.50165,                 0.2101,                 1.9176,                 1.9149,                 1.5881,               0.000948,               0.000948,               0.000948
                     37,                 1.9159,                 1.8404,                   1.53,                0.35131,                0.73126,                0.50165,                 0.2101,                 1.9176,                 1.9149,                 1.5881,             0.00093385,             0.00093385,             0.00093385
                     38,                 1.9712,                 1.6659,                 1.4952,                0.41764,                0.79229,                0.56451,                0.24021,                 1.9136,                 1.7448,                 1.5954,              0.0009197,              0.0009197,              0.0009197
                     39,                 2.0212,                 1.8009,                 1.4676,                0.41764,                0.79229,                0.56451,                0.24021,                 1.9136,                 1.7448,                 1.5954,             0.00090556,             0.00090556,             0.00090556
                     40,                 2.0439,                 1.5555,                 1.4875,                0.41764,                0.79229,                0.56451,                0.24021,                 1.9136,                 1.7448,                 1.5954,             0.00089141,             0.00089141,             0.00089141
                     41,                 2.0309,                 1.5922,                 1.4881,                0.61112,                0.68395,                0.65405,                0.28282,                 1.9194,                 1.5764,                 1.5878,             0.00087726,             0.00087726,             0.00087726
                     42,                 1.9927,                 1.5144,                  1.465,                0.61112,                0.68395,                0.65405,                0.28282,                 1.9194,                 1.5764,                 1.5878,             0.00086312,             0.00086312,             0.00086312
                     43,                 1.9753,                 1.4791,                 1.4287,                0.61112,                0.68395,                0.65405,                0.28282,                 1.9194,                 1.5764,                 1.5878,             0.00084897,             0.00084897,             0.00084897
                     44,                 1.9813,                 1.6171,                 1.4547,                 0.6327,                0.75503,                0.70851,                0.30786,                 1.9378,                 1.4491,                 1.5836,             0.00083482,             0.00083482,             0.00083482
                     45,                 1.9652,                 1.5726,                 1.4672,                 0.6327,                0.75503,                0.70851,                0.30786,                 1.9378,                 1.4491,                 1.5836,             0.00082067,             0.00082067,             0.00082067
                     46,                 2.0156,                 1.5937,                 1.4619,                 0.6327,                0.75503,                0.70851,                0.30786,                 1.9378,                 1.4491,                 1.5836,             0.00080653,             0.00080653,             0.00080653
                     47,                  1.966,                 1.5125,                 1.4885,                0.63312,                0.70377,                0.69493,                0.31426,                 1.9446,                 1.3778,                  1.582,             0.00079238,             0.00079238,             0.00079238
                     48,                 2.0189,                 1.4938,                 1.3788,                0.63312,                0.70377,                0.69493,                0.31426,                 1.9446,                 1.3778,                  1.582,             0.00077823,             0.00077823,             0.00077823
                     49,                 1.9593,                 1.4886,                  1.431,                0.63312,                0.70377,                0.69493,                0.31426,                 1.9446,                 1.3778,                  1.582,             0.00076409,             0.00076409,             0.00076409
                     50,                 1.9736,                 1.4359,                 1.3971,                0.62099,                0.73681,                0.73184,                0.33122,                 1.9476,                 1.3305,                 1.5743,             0.00074994,             0.00074994,             0.00074994
                     51,                 1.9684,                 1.3811,                 1.4283,                0.62099,                0.73681,                0.73184,                0.33122,                 1.9476,                 1.3305,                 1.5743,             0.00073579,             0.00073579,             0.00073579
                     52,                 1.9653,                 1.4835,                 1.4371,                0.62099,                0.73681,                0.73184,                0.33122,                 1.9476,                 1.3305,                 1.5743,             0.00072164,             0.00072164,             0.00072164
                     53,                  1.935,                 1.3889,                 1.4057,                 0.5695,                0.77867,                0.73851,                0.32536,                 1.9461,                 1.2945,                 1.5595,              0.0007075,              0.0007075,              0.0007075
                     54,                 1.9185,                 1.4323,                 1.4752,                 0.5695,                0.77867,                0.73851,                0.32536,                 1.9461,                 1.2945,                 1.5595,             0.00069335,             0.00069335,             0.00069335
                     55,                   1.94,                 1.3114,                 1.3626,                 0.5695,                0.77867,                0.73851,                0.32536,                 1.9461,                 1.2945,                 1.5595,              0.0006792,              0.0006792,              0.0006792
                     56,                  1.894,                 1.3199,                 1.3695,                0.49467,                0.74295,                0.68347,                0.30605,                 1.9358,                 1.3687,                 1.5481,             0.00066506,             0.00066506,             0.00066506
                     57,                 1.9687,                 1.3865,                 1.4441,                0.49467,                0.74295,                0.68347,                0.30605,                 1.9358,                 1.3687,                 1.5481,             0.00065091,             0.00065091,             0.00065091
                     58,                 1.9481,                 1.4358,                 1.4007,                0.49467,                0.74295,                0.68347,                0.30605,                 1.9358,                 1.3687,                 1.5481,             0.00063676,             0.00063676,             0.00063676
                     59,                 1.9753,                 1.3697,                 1.3944,                0.56104,                0.73594,                 0.7025,                0.32249,                 1.9319,                 1.3479,                 1.5504,             0.00062262,             0.00062262,             0.00062262
                     60,                 1.9897,                 1.4519,                 1.5027,                0.56104,                0.73594,                 0.7025,                0.32249,                 1.9319,                 1.3479,                 1.5504,             0.00060847,             0.00060847,             0.00060847
                     61,                 1.9368,                 1.2918,                 1.3167,                0.56104,                0.73594,                 0.7025,                0.32249,                 1.9319,                 1.3479,                 1.5504,             0.00059432,             0.00059432,             0.00059432
                     62,                 2.0314,                 1.3979,                 1.4195,                0.56598,                0.77738,                0.73588,                0.33042,                  1.944,                 1.2916,                 1.5532,             0.00058017,             0.00058017,             0.00058017
                     63,                 1.9731,                 1.4781,                 1.4518,                0.56598,                0.77738,                0.73588,                0.33042,                  1.944,                 1.2916,                 1.5532,             0.00056603,             0.00056603,             0.00056603
                     64,                 1.9763,                 1.3303,                 1.3379,                0.56598,                0.77738,                0.73588,                0.33042,                  1.944,                 1.2916,                 1.5532,             0.00055188,             0.00055188,             0.00055188
                     65,                 1.9252,                 1.4132,                 1.4857,                0.61107,                0.74366,                 0.7429,                0.30669,                 2.0609,                 1.2746,                 1.6212,             0.00053773,             0.00053773,             0.00053773
                     66,                 1.9685,                 1.4173,                 1.4311,                0.61107,                0.74366,                 0.7429,                0.30669,                 2.0609,                 1.2746,                 1.6212,             0.00052359,             0.00052359,             0.00052359
                     67,                 2.0015,                 1.5253,                 1.4302,                0.61107,                0.74366,                 0.7429,                0.30669,                 2.0609,                 1.2746,                 1.6212,             0.00050944,             0.00050944,             0.00050944
                     68,                 1.9342,                  1.373,                  1.398,                0.62652,                 0.7241,                0.73128,                0.29286,                 2.1066,                 1.2665,                 1.6573,             0.00049529,             0.00049529,             0.00049529
                     69,                 2.0304,                 1.4451,                 1.4086,                0.62652,                 0.7241,                0.73128,                0.29286,                 2.1066,                 1.2665,                 1.6573,             0.00048114,             0.00048114,             0.00048114
                     70,                 1.9829,                 1.4035,                 1.4576,                0.62652,                 0.7241,                0.73128,                0.29286,                 2.1066,                 1.2665,                 1.6573,               0.000467,               0.000467,               0.000467
                     71,                 1.9927,                 1.3958,                 1.5156,                0.69342,                 0.7229,                0.75131,                0.31541,                 2.0518,                  1.213,                 1.6306,             0.00045285,             0.00045285,             0.00045285
                     72,                 1.9151,                 1.3603,                 1.4301,                0.69342,                 0.7229,                0.75131,                0.31541,                 2.0518,                  1.213,                 1.6306,              0.0004387,              0.0004387,              0.0004387
                     73,                 1.9544,                 1.3111,                  1.426,                0.69342,                 0.7229,                0.75131,                0.31541,                 2.0518,                  1.213,                 1.6306,             0.00042456,             0.00042456,             0.00042456
                     74,                 1.9795,                 1.3815,                  1.445,                0.65939,                0.81811,                0.79789,                0.36726,                 1.9231,                 1.1637,                 1.5545,             0.00041041,             0.00041041,             0.00041041
                     75,                   1.92,                 1.4237,                 1.4688,                0.65939,                0.81811,                0.79789,                0.36726,                 1.9231,                 1.1637,                 1.5545,             0.00039626,             0.00039626,             0.00039626
                     76,                 1.9479,                 1.3289,                 1.3878,                0.65939,                0.81811,                0.79789,                0.36726,                 1.9231,                 1.1637,                 1.5545,             0.00038211,             0.00038211,             0.00038211
                     77,                 1.9363,                 1.3686,                 1.4542,                 0.6649,                0.85489,                0.80583,                0.37544,                 1.8955,                 1.1928,                 1.5354,             0.00036797,             0.00036797,             0.00036797
                     78,                 1.9232,                 1.3485,                 1.4245,                 0.6649,                0.85489,                0.80583,                0.37544,                 1.8955,                 1.1928,                 1.5354,             0.00035382,             0.00035382,             0.00035382
                     79,                 1.9103,                 1.3142,                 1.3801,                 0.6649,                0.85489,                0.80583,                0.37544,                 1.8955,                 1.1928,                 1.5354,             0.00033967,             0.00033967,             0.00033967
                     80,                 1.9455,                  1.309,                 1.3916,                0.67132,                0.79219,                0.78954,                0.35309,                 1.9276,                 1.2306,                 1.5478,             0.00032553,             0.00032553,             0.00032553
                     81,                 1.9439,                 1.3625,                 1.4447,                0.67132,                0.79219,                0.78954,                0.35309,                 1.9276,                 1.2306,                 1.5478,             0.00031138,             0.00031138,             0.00031138
                     82,                  1.948,                 1.2976,                 1.3817,                0.67132,                0.79219,                0.78954,                0.35309,                 1.9276,                 1.2306,                 1.5478,             0.00029723,             0.00029723,             0.00029723
                     83,                 1.9094,                 1.2624,                 1.3895,                0.68716,                0.74419,                0.76975,                0.33636,                 1.9379,                 1.2666,                 1.5541,             0.00028308,             0.00028308,             0.00028308
                     84,                 1.9526,                 1.3859,                 1.4926,                0.68716,                0.74419,                0.76975,                0.33636,                 1.9379,                 1.2666,                 1.5541,             0.00026894,             0.00026894,             0.00026894
                     85,                 1.9138,                 1.2314,                 1.3145,                0.68716,                0.74419,                0.76975,                0.33636,                 1.9379,                 1.2666,                 1.5541,             0.00025479,             0.00025479,             0.00025479
                     86,                 1.9301,                 1.2968,                 1.3721,                0.64409,                0.72491,                0.74963,                0.34102,                 1.9048,                 1.2483,                 1.5312,             0.00024064,             0.00024064,             0.00024064
                     87,                 1.9251,                 1.3607,                  1.372,                0.64409,                0.72491,                0.74963,                0.34102,                 1.9048,                 1.2483,                 1.5312,              0.0002265,              0.0002265,              0.0002265
                     88,                 1.9303,                 1.3403,                  1.501,                0.64409,                0.72491,                0.74963,                0.34102,                 1.9048,                 1.2483,                 1.5312,             0.00021235,             0.00021235,             0.00021235
                     89,                 1.8891,                 1.2886,                 1.3131,                 0.6397,                 0.6823,                0.71164,                0.32812,                 1.8953,                 1.2697,                 1.5217,              0.0001982,              0.0001982,              0.0001982
                     90,                 1.8943,                 1.2442,                 1.3317,                 0.6397,                 0.6823,                0.71164,                0.32812,                 1.8953,                 1.2697,                 1.5217,             0.00018406,             0.00018406,             0.00018406
                     91,                 1.9124,                 1.4363,                 1.4722,                 0.6397,                 0.6823,                0.71164,                0.32812,                 1.8953,                 1.2697,                 1.5217,             0.00016991,             0.00016991,             0.00016991
                     92,                  1.892,                 1.4492,                 1.4842,                0.63724,                0.68569,                0.70608,                0.32572,                 1.8914,                 1.2623,                 1.5195,             0.00015576,             0.00015576,             0.00015576
                     93,                 1.9559,                 1.4455,                 1.5322,                0.63724,                0.68569,                0.70608,                0.32572,                 1.8914,                 1.2623,                 1.5195,             0.00014161,             0.00014161,             0.00014161
                     94,                 1.9266,                  1.378,                 1.4821,                0.63724,                0.68569,                0.70608,                0.32572,                 1.8914,                 1.2623,                 1.5195,             0.00012747,             0.00012747,             0.00012747
                     95,                  1.974,                 1.4097,                 1.3851,                0.63483,                 0.6861,                0.70564,                0.32513,                  1.892,                 1.2866,                 1.5195,             0.00011332,             0.00011332,             0.00011332
                     96,                 1.9266,                 1.4158,                 1.5493,                0.63483,                 0.6861,                0.70564,                0.32513,                  1.892,                 1.2866,                 1.5195,             9.9173e-05,             9.9173e-05,             9.9173e-05
                     97,                 1.9185,                 1.4216,                 1.4757,                0.63483,                 0.6861,                0.70564,                0.32513,                  1.892,                 1.2866,                 1.5195,             8.5026e-05,             8.5026e-05,             8.5026e-05
                     98,                   1.88,                 1.3797,                 1.4544,                0.61847,                0.68807,                0.70499,                0.32795,                 1.8927,                 1.2978,                 1.5194,             7.0878e-05,             7.0878e-05,             7.0878e-05
                     99,                 1.8451,                 1.3724,                 1.4381,                0.61847,                0.68807,                0.70499,                0.32795,                 1.8927,                 1.2978,                 1.5194,             5.6731e-05,             5.6731e-05,             5.6731e-05
                    100,                 1.8867,                 1.3918,                 1.4699,                0.61847,                0.68807,                0.70499,                0.32795,                 1.8927,                 1.2978,                 1.5194,             4.2584e-05,             4.2584e-05,             4.2584e-05
